product_id,sku,product_name,category,sub_category,brand,unit_cost,unit_price,supplier_id,is_active,launch_date,weight_kg,stock_quantity,margin_flag
1,SKU-00001,Hundred Snacks Max,Grocery,Snacks,PureEdge,17.14,38.29,12.0,1,2024-08-06,1.12,694,0
2,SKU-00002,Whole Dairy Ultra,Grocery,Dairy,FreshCart,4.91,7.21,,1,2020-12-10,4.33,482,0
3,SKU-00003,Onto Women'S Apparel Ultra,Clothing,Women's Apparel,ZenHome,20.64,51.15,15.0,1,2021-07-31,3.7,656,0
4,SKU-00004,Cold Tablets Lite,Electronics,Tablets,FreshCart,808.25,809.6775,44.0,1,2020-03-17,18.575,839,0
5,SKU-00005,Position Furniture,Home & Kitchen,Furniture,PeakForm,289.72,557.15,50.0,1,2018-04-11,11.58,1638,0
6,SKU-00006,Likely Beverages Pro,Grocery,Beverages,AromaBliss,15.05,41.0,36.0,1,2022-02-12,15.94,2166,0
7,SKU-00007,Oil Furniture Plus,Home & Kitchen,Furniture,ByteBox,418.38,809.6775,50.0,1,2024-06-24,4.14,2057,0
8,SKU-00008,Service Furniture Max,Home & Kitchen,Furniture,PageTurner,292.48,809.6775,18.0,1,2019-09-25,28.8,29,0
9,SKU-00009,Guy Board Games,Toys,Board Games,PageTurner,88.15,213.76,43.0,1,2023-01-29,27.23,2392,0
10,SKU-00010,Nothing Smartphones Pro,Electronics,Smartphones,LuxeWear,767.24,809.6775,12.0,1,2023-04-12,11.38,637,0
11,SKU-00011,Face Makeup Pro,Beauty,Makeup,GlowLab,53.69,66.0,26.0,0,2023-07-21,27.63,3167,0
12,SKU-00012,Teach Beverages Plus,Grocery,Beverages,NovaTech,16.67,41.1,28.0,1,2024-11-10,9.63,3095,0
13,SKU-00013,By Bedding Lite,Home & Kitchen,Bedding,PureEdge,344.48,631.67,38.0,1,2020-06-11,14.88,4156,0
14,SKU-00014,Manager Outdoor Gear Plus,Sports,Outdoor Gear,PureEdge,215.47,378.66,6.0,1,2024-06-19,6.28,2396,0
15,SKU-00015,Success Makeup Max,Beauty,Makeup,PureEdge,101.42,192.74,44.0,1,2020-12-31,28.73,1455,0
16,SKU-00016,Just Outdoor Gear,Sports,Outdoor Gear,GlowLab,274.05,525.66,40.0,0,2020-06-20,17.27,16,0
17,SKU-00017,Subject Outdoor Gear Pro,Sports,Outdoor Gear,PlayZone,63.09,131.87,1.0,1,2020-05-05,10.95,372,0
18,SKU-00018,Seat Fragrances Pro,Beauty,Fragrances,PlayZone,12.37,20.75,20.0,1,2023-02-25,26.23,3194,0
